NUMBER_1,X_WORLD_1,Y_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,THRESHOLD_1,FLUX_MAX_1,ISOAREA_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,THRESHOLD_2,FLUX_MAX_2,ISOAREA_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation,B_V
6468,154.19011801197783,-46.49972851336175,913.84344,2876.073,379536.7,632.2765,14.825866,0.0018091855,96.28114,68.92337,5776.384,426,-14.642163,2,1.1111671,0.10004532,7554,154.19008895542146,-46.49979074045336,913.65515,2876.6462,1108687.6,1103.3479,14.127976,0.0010807696,240.32086,152.23218,21196.377,469,13.226775,2,1.0616717,0.058089197,0.2353051818440802,0.6978893
6469,154.33350676386647,-46.49456413986597,1825.3746,2835.0452,1790.1182,52.798756,20.641796,0.032031097,97.40938,68.92337,107.96175,21,-35.445457,0,1.2648792,0.20941067,7566,154.33352731868382,-46.4946656155602,1825.4976,2835.983,5905.677,109.22949,19.811825,0.020086305,247.19858,152.23218,329.57764,26,-1.1091446,0,1.1625813,0.13984513,0.36884719574597746,0.8299713
6470,154.440472808926,-46.495368070391784,2505.0566,2848.501,10934.072,121.38541,18.677046,0.012056309,98.5992,68.92337,264.30612,80,2.45387,0,1.1047119,0.094786584,7569,154.44049257988732,-46.495444946806295,2505.1753,2849.2117,30554.883,222.61644,18.027298,0.007912368,249.41602,152.23218,899.7604,82,-1.6321504,0,1.0693461,0.06484902,0.28105905824341676,0.64974785
6471,154.3415008931321,-46.495413577608716,1876.1113,2843.3054,6409.0903,95.23303,19.25701,0.016136935,97.86489,68.92337,182.33952,56,-17.010962,0,1.108096,0.09755111,7557,154.34150018675837,-46.495482629192196,1876.1016,2843.9429,16886.332,174.81238,18.671162,0.011242598,246.61827,152.23218,544.26825,59,-42.869072,0,1.0700766,0.065487385,0.248591864492642,0.58584785
6472,154.55962015081124,-46.50140907387288,3261.5833,2912.07,9835.293,116.56815,18.792032,0.012871301,95.71878,68.92337,243.5065,70,27.40556,0,1.1058817,0.09574419,7718,154.55966342059125,-46.5014757693314,3261.8513,2912.6887,26133.445,207.48718,18.197008,0.008622326,241.57541,152.23218,795.0271,73,3.804415,0,1.0782988,0.0726133,0.26295727853761675,0.5950241
6473,154.40452710293863,-46.496110435502075,2276.569,2853.2231,19737.566,158.89641,18.035767,0.008742795,98.86008,68.92337,356.02814,116,-51.83781,0,1.0653822,0.061369777,7558,154.40454846598732,-46.49616369400096,2276.7002,2853.7158,49707.49,275.49017,17.498945,0.0060188584,248.50674,152.23218,1123.4042,113,-67.54693,0,1.0979322,0.08919692,0.1989059722669182,0.53682137
6474,154.10997721481104,-46.498828087675584,404.63925,2864.7673,84757.45,309.3274,16.453556,0.003963422,93.60539,68.92337,1375.3966,230,-22.381008,0,1.1450977,0.12671208,7561,154.10993909583672,-46.49888475140628,404.3942,2865.2893,243622.95,545.5455,15.773204,0.0024318825,232.05145,152.23218,4884.952,233,-6.1316648,0,1.0515091,0.0489859,0.22480009384838398,0.6803522
6475,154.51977477184926,-46.49355815058439,3009.1726,2836.8618,1631.4695,50.33936,20.742554,0.033508774,96.2735,68.92337,105.10658,19,48.19478,0,1.1790456,0.1518563,7562,154.51978942282196,-46.49364049570479,3009.2576,2837.6228,7116.4736,119.58516,19.609337,0.018249134,243.96892,152.23218,322.20303,31,29.584425,0,1.1198385,0.10701406,0.2986579466197736,1.1332169
6476,154.50218738493027,-46.49508329134364,2897.2612,2849.7725,13621.305,133.06644,18.438454,0.010609127,96.42883,68.92337,323.52304,86,10.2379465,0,1.0720472,0.06720525,7560,154.50222058158397,-46.49514377108082,2897.4663,2850.333,48289.414,267.7607,17.53037,0.006021778,244.4831,152.23218,1293.2843,101,3.4468753,0,1.0903101,0.08282977,0.2327522863615204,0.90808296
6477,154.2837164086636,-46.49597709063865,1508.863,2845.593,6617.741,97.54745,19.222225,0.016007958,95.46572,68.92337,170.08777,61,-11.74883,0,1.2220495,0.1817025,7575,154.28370485945712,-46.496065233196354,1508.7836,2846.4062,18018.652,183.15474,18.600695,0.011038897,240.0022,152.23218,505.29977,67,-5.408819,0,1.3804412,0.27559394,0.3186014526099701,0.62153053
6478,154.5783396273308,-46.4930634100944,3381.3958,2836.3625,1167.5612,42.25065,21.1058,0.039299186,95.94757,68.92337,111.62939,13,42.399685,0,1.1725696,0.14717221,7567,154.57836729419265,-46.49313204439683,3381.5645,2836.9983,5944.334,109.4063,19.80474,0.019987984,240.8452,152.23218,310.74548,26,0.11674512,0,1.1619159,0.1393525,0.25642152726337775,1.3010597
