        54 2342.320000 2105.690000      16.9327      0.00689       508.67            54514         OK   5.100000   0.000000   0.000000   annulus     circle
#ANN    54   1.5 2.0
        55 2354.360000 2103.830000      16.6781      0.00644       617.88            68922         OK   5.700000   0.000000   0.000000   annulus     circle
#ANN    55   1.5 2.0
        56 2352.300000 2075.880000      17.5293       0.0103       471.44            31468         OK   5.000000   0.000000   0.000000   annulus     circle
#ANN    56   1.5 2.0
        57 2306.770000 2104.380000      17.5404      0.01022       445.57            31149         OK   5.000000   0.000000   0.000000   annulus     circle
#ANN    57   1.5 2.0
        58 2275.460000 2090.290000      17.1506      0.00811        462.4            44604         OK   5.400000   0.000000   0.000000   annulus     circle
#ANN    58   1.5 2.0
        59 2317.040000 2117.970000      17.2709      0.00851       513.21            39926         OK   4.800000   0.000000   0.000000   annulus     circle
#ANN    59   1.5 2.0
        60 2294.110000 2124.370000      14.6873      0.00189       451.79           431220         OK   7.800000   0.000000   0.000000   annulus     circle
#ANN    60   1.5 2.0
        61 2375.130000 2004.310000      17.0148      0.00779       367.35            50543         OK   6.700000   0.000000   0.000000   annulus     circle
#ANN    61   1.5 2.0
        62 2376.710000 2059.260000      15.8122      0.00359       354.12           153010         OK   7.700000   0.000000   0.000000   annulus     circle
#ANN    62   1.5 2.0
        63 2114.090000 2099.670000       16.955      0.00643       246.25            53406         OK   6.200000   0.000000   0.000000   annulus     circle
#ANN    63   1.5 2.0
        64 2096.490000 2118.380000      16.5606      0.00484       205.74            76797         OK   6.300000   0.000000   0.000000   annulus     circle
#ANN    64   1.5 2.0
        65 2104.260000 2156.940000      16.0822       0.0038       249.46           119320         OK   6.700000   0.000000   0.000000   annulus     circle
#ANN    65   1.5 2.0
        66 2135.500000 2134.510000      15.4288      0.00274       308.97           217810         OK   7.400000   0.000000   0.000000   annulus     circle
#ANN    66   1.5 2.0
        67 2240.000000 2144.670000      18.7273      0.02812       393.27            10439         OK   5.700000   0.000000   0.000000   annulus     circle
#ANN    67   1.5 2.0
        68 2338.530000 2043.920000      18.6177      0.02224       278.99            11549         OK   5.700000   0.000000   0.000000   annulus     circle
#ANN    68   1.5 2.0
        69 2109.090000 2044.190000      19.4369      0.03579       234.45           5430.5         OK   4.800000   0.000000   0.000000   annulus     circle
#ANN    69   1.5 2.0
        70 2118.350000 2079.540000       18.128      0.01429       236.59            18131         OK   5.800000   0.000000   0.000000   annulus     circle
#ANN    70   1.5 2.0
        71 2367.940000 2140.450000      17.2458      0.00822        344.5            40860         OK   5.700000   0.000000   0.000000   annulus     circle
#ANN    71   1.5 2.0
        72 2238.230000 2070.770000      14.8927      0.00211       403.99           356890         OK   7.900000   0.000000   0.000000   annulus     circle
#ANN    72   1.5 2.0
        73 2214.530000 2051.110000      14.7326      0.00201       516.18           413590         OK   8.200000   0.000000   0.000000   annulus     circle
#ANN    73   1.5 2.0
        74 2367.810000 2075.230000      16.8846      0.00724       447.65            56984         OK   6.300000   0.000000   0.000000   annulus     circle
#ANN    74   1.5 2.0
        75 2343.980000 2135.440000      14.8635      0.00215       505.41           366620         OK   8.000000   0.000000   0.000000   annulus     circle
#ANN    75   1.5 2.0
        76 2342.450000 2078.650000       16.931      0.00662        317.8            54600         OK   6.000000   0.000000   0.000000   annulus     circle
#ANN    76   1.5 2.0
        77 2348.380000 2091.520000      17.0464      0.00741       482.87            49094         OK   5.200000   0.000000   0.000000   annulus     circle
#ANN    77   1.5 2.0
        78 2151.310000 2143.330000      15.2907      0.00258       379.55           247340         OK   7.300000   0.000000   0.000000   annulus     circle
#ANN    78   1.5 2.0
        79 2220.370000 2133.580000      15.1782      0.00253       464.84           274350         OK   7.700000   0.000000   0.000000   annulus     circle
#ANN    79   1.5 2.0
        80 2266.130000 2147.460000      16.5727      0.00513       299.91            75945         OK   6.000000   0.000000   0.000000   annulus     circle
#ANN    80   1.5 2.0
